time,seq,stamp,x,y,z
1692140042174885046,0,7367000000,0.0,0.0,0.0
1692140042210431985,1,7400000000,0.0,0.0,0.0
1692140042237702038,2,7433000000,0.0,0.0,0.0
1692140042265155338,3,7467000000,0.0,0.0,0.0
1692140042303087726,4,7500000000,0.0,0.0,0.0
1692140042329433591,5,7533000000,0.0,0.0,0.0
1692140042366406584,6,7567000000,0.0,0.0,0.0
1692140042401468191,7,7600000000,0.0,0.0,0.0
1692140042430571259,8,7633000000,0.0,0.0,0.0
1692140042460360642,9,7667000000,0.0,0.0,0.0
1692140042509839566,10,7700000000,0.0,0.0,0.0
1692140042541711139,11,7733000000,0.0,0.0,0.0
1692140042571184718,12,7767000000,0.0,0.0,0.0
1692140042615126946,13,7800000000,0.0,0.0,0.0
1692140042643486236,14,7833000000,0.0,0.0,0.0
1692140042673193639,15,7867000000,0.0,0.0,0.0
1692140042708516066,16,7900000000,0.0,0.0,0.0
1692140042739926252,17,7933000000,0.0,0.0,0.0
1692140042770834946,18,7967000000,0.0,0.0,0.0
1692140042810882062,19,8000000000,0.0,0.0,0.0
1692140042839564507,20,8033000000,0.0,0.0,0.0
1692140042869696222,21,8067000000,0.0,0.0,0.0
1692140042902286200,22,8100000000,0.0,0.0,0.0
1692140042933575605,23,8133000000,0.0,0.0,0.0
1692140042966620427,24,8167000000,0.0,0.0,0.0
1692140043011947600,25,8200000000,0.0,0.0,0.0
1692140043040518656,26,8233000000,0.0,0.0,0.0
1692140043070516489,27,8267000000,0.0,0.0,0.0
1692140043104546821,28,8300000000,0.0,0.0,0.0
1692140043133293513,29,8333000000,0.0,0.0,0.0
1692140043165690188,30,8367000000,0.0,0.0,0.0
1692140043208131145,31,8400000000,0.0,0.0,0.0
1692140043240063569,32,8433000000,0.0,0.0,0.0
1692140043269382040,33,8467000000,0.0,0.0,0.0
1692140043305763634,34,8500000000,0.0,0.0,0.0
1692140043336062771,35,8533000000,0.0,0.0,0.0
1692140043370371817,36,8567000000,0.0,0.0,0.0
1692140043407453289,37,8600000000,0.0,0.0,0.0
1692140043484009510,38,8633000000,0.0601645559072494,-0.0085623357445001,0.0013246908783912
1692140043515283828,39,8700000000,0.0771110132336616,-0.0085838474333286,0.000911783427
1692140043532274607,40,8733000000,0.0870155096054077,-0.0084648169577121,0.0002917721867561
1692140043552269973,41,8767000000,0.096764825284481,-0.0092770159244537,0.0010111033916473
1692140043595583913,42,8800000000,0.1090511679649353,-0.008096195757389,0.0009029954671859
1692140043615877648,43,8833000000,0.1185529455542564,-0.007482822984457,0.0005284771323204
1692140043660988791,44,8867000000,0.1335484981536865,-0.005733273923397,-0.0001783147454261
1692140043697020542,45,8900000000,0.1458270847797393,-0.0054313987493515,0.0003975182771682
1692140043713176653,46,8933000000,0.156636044383049,-0.0043878108263015,0.0006680563092231
1692140043750843988,47,8967000000,0.1684025228023529,-0.0021913200616836,0.0008177459239959
1692140043798311083,48,9000000000,0.1767646670341491,-0.000231310725212,0.0003982484340667
1692140043815510565,49,9033000000,0.1857699304819107,0.0028817802667617,0.0005598664283752
1692140043851067630,50,9067000000,0.1970648020505905,0.0056002810597419,0.00088532269001
1692140043897402154,51,9100000000,0.1996052116155624,0.0077661871910095,0.0011456310749053
1692140043913865377,52,9133000000,0.2083407938480377,0.0120553374290466,0.0005647987127304
1692140043952023612,53,9167000000,0.2176554352045059,0.01552614569664,0.0009294152259826
1692140043999986534,54,9200000000,0.2265780866146087,0.0194541364908218,0.0008092522621154
1692140044018085186,55,9233000000,0.2282990515232086,0.0227446407079696,0.001790776848793
1692140044047719661,56,9267000000,0.2369298487901687,0.0276966169476509,0.0006198287010192
1692140044096756149,57,9300000000,0.2347748577594757,0.0318377763032913,0.0012594386935234
1692140044115642313,58,9333000000,0.2420765608549118,0.0366313830018043,0.0013084262609481
1692140044151245461,59,9367000000,0.2462424635887146,0.0422476306557655,0.0011881738901138
1692140044189483877,60,9400000000,0.2530911862850189,0.0470027104020118,0.0011876076459884
1692140044215395363,61,9433000000,0.2598759531974792,0.0531757175922393,0.0007956624031066
1692140044255315845,62,9467000000,0.2677727043628692,0.0603633970022201,0.0006701946258544
1692140044291419070,63,9500000000,0.2719464600086212,0.0672900825738906,0.0006734728813171
1692140044317106896,64,9533000000,0.276233822107315,0.0749744027853012,0.000622346997261
1692140044343772752,65,9567000000,0.2743160128593445,0.0811520665884018,0.0005325376987457
1692140044387274074,66,9600000000,0.2783359587192535,0.0886978209018707,0.0004475861787796
1692140044406552422,67,9633000000,0.2827480733394623,0.0960863381624221,0.000522181391716
1692140044454402003,68,9667000000,0.2870176434516907,0.103760227560997,0.000428095459938
